referrer,views_total,views_unique
github.com,72,13
news.ycombinator.com,69,38
Google,60,7
janbielak.com,5,5
angelhof.github.io,4,3
nikos.vasilak.is,3,1
hackerweb.app,1,1
fstutz.pages.mpi-sws.org,1,1
