time_iso8601,stars_cumulative
2023-02-27 00:00:00+00:00,464
2023-03-07 00:00:00+00:00,465
2023-03-08 00:00:00+00:00,466
2023-03-14 00:00:00+00:00,467
2023-03-21 00:00:00+00:00,468
2023-04-02 00:00:00+00:00,469
2023-04-11 00:00:00+00:00,470
2023-04-26 00:00:00+00:00,471
2023-05-03 00:00:00+00:00,472
2023-05-04 00:00:00+00:00,473
2023-05-16 00:00:00+00:00,474
2023-05-31 00:00:00+00:00,475
2023-06-02 00:00:00+00:00,476
2023-06-07 00:00:00+00:00,477
2023-06-11 00:00:00+00:00,478
2023-06-22 00:00:00+00:00,479
2023-06-23 00:00:00+00:00,481
2023-06-24 00:00:00+00:00,485
2023-06-25 00:00:00+00:00,489
2023-06-26 00:00:00+00:00,492
2023-06-28 00:00:00+00:00,493
2023-07-08 00:00:00+00:00,494
2023-07-11 00:00:00+00:00,495
2023-07-16 00:00:00+00:00,496
2023-07-18 00:00:00+00:00,497
2023-07-19 00:00:00+00:00,499
2023-08-13 00:00:00+00:00,500
2023-08-18 00:00:00+00:00,501
2023-08-21 00:00:00+00:00,503
2023-08-24 00:00:00+00:00,504
